=== 2026-01-21T08:46:16 doc_id=489 page=7 phase=pass1 steps=822 min_openxml_idx=429 pdf_units=195 openxml_units=969 ===
[0] Block0 Char="μ" PDF[0] -> U0(pdf_0) OX[4142] -> U415(93770) | SKIP cross_page_backward: openxml_idx=415 < min_from_prev_page=429
[179] Block31 Char="h" PDF[183] -> U42(pdf_42) OX[4860] -> U436(93791) | MATCH continue_existing_assignment cnt:2
[180] Block31 Char="i" PDF[184] -> U42(pdf_42) OX[4861] -> U436(93791) | MATCH continue_existing_assignment cnt:3
[181] Block31 Char="(" PDF[185] -> U43(pdf_43) OX[4862] -> U436(93791) | MATCH new_assignment cnt:1
[182] Block31 Char="0" PDF[186] -> U43(pdf_43) OX[4863] -> U436(93791) | MATCH continue_existing_assignment cnt:2
[183] Block31 Char="." PDF[187] -> U43(pdf_43) OX[4864] -> U436(93791) | MATCH continue_existing_assignment cnt:3
[184] Block31 Char="1" PDF[188] -> U43(pdf_43) OX[4865] -> U436(93791) | MATCH continue_existing_assignment cnt:4
[185] Block31 Char="9" PDF[189] -> U43(pdf_43) OX[4866] -> U436(93791) | MATCH continue_existing_assignment cnt:5
[186] Block31 Char="," PDF[190] -> U43(pdf_43) OX[4867] -> U436(93791) | MATCH continue_existing_assignment cnt:6
[187] Block31 Char="0" PDF[191] -> U43(pdf_43) OX[4868] -> U436(93791) | MATCH continue_existing_assignment cnt:7
[188] Block31 Char="." PDF[192] -> U43(pdf_43) OX[4869] -> U436(93791) | MATCH continue_existing_assignment cnt:8
[189] Block31 Char="3" PDF[193] -> U43(pdf_43) OX[4870] -> U436(93791) | MATCH continue_existing_assignment cnt:9
[190] Block31 Char="7" PDF[194] -> U43(pdf_43) OX[4871] -> U436(93791) | MATCH continue_existing_assignment cnt:10
[191] Block31 Char="," PDF[195] -> U43(pdf_43) OX[4872] -> U436(93791) | MATCH continue_existing_assignment cnt:11
[192] Block31 Char="1" PDF[196] -> U43(pdf_43) OX[4873] -> U436(93791) | MATCH continue_existing_assignment cnt:12
[193] Block31 Char="." PDF[197] -> U43(pdf_43) OX[4874] -> U436(93791) | MATCH continue_existing_assignment cnt:13
[194] Block31 Char="3" PDF[198] -> U43(pdf_43) OX[4875] -> U436(93791) | MATCH continue_existing_assignment cnt:14
[195] Block31 Char="8" PDF[199] -> U43(pdf_43) OX[4876] -> U436(93791) | MATCH continue_existing_assignment cnt:15
[196] Block31 Char=")" PDF[200] -> U43(pdf_43) OX[4877] -> U436(93791) | MATCH continue_existing_assignment cnt:16
[197] Block31 Char="=" PDF[201] -> U44(pdf_44) OX[4878] -> U436(93791) | MATCH new_assignment cnt:1
[198] Block31 Char="e" PDF[202] -> U45(pdf_45) OX[4879] -> U436(93791) | MATCH new_assignment cnt:1
