=== 2026-01-31T05:18:32 doc_id=552 page=5 phase=pass1 steps=1404 min_openxml_idx=50 pdf_units=175 openxml_units=62 ===
[0] Block0 Char="1" PDF[0] -> U0(pdf_1) OX[387] -> U6(108240) | SKIP cross_page_backward: openxml_idx=6 < min_from_prev_page=50
[167] Block3 Char="t" PDF[171] -> U26(pdf_27) OX[6114] -> U53(108287) | MATCH continue_existing_assignment cnt:14
[168] Block3 Char="u" PDF[172] -> U26(pdf_27) OX[6115] -> U53(108287) | MATCH continue_existing_assignment cnt:15
[169] Block3 Char="b" PDF[173] -> U27(pdf_28) OX[6116] -> U53(108287) | MATCH new_assignment cnt:1
[170] Block3 Char="a" PDF[174] -> U27(pdf_28) OX[6117] -> U53(108287) | MATCH continue_existing_assignment cnt:2
[171] Block3 Char="h" PDF[175] -> U27(pdf_28) OX[6118] -> U53(108287) | MATCH continue_existing_assignment cnt:3
[172] Block3 Char="a" PDF[176] -> U27(pdf_28) OX[6119] -> U53(108287) | MATCH continue_existing_assignment cnt:4
[173] Block3 Char="n" PDF[177] -> U27(pdf_28) OX[6120] -> U53(108287) | MATCH continue_existing_assignment cnt:5
[174] Block3 Char="m" PDF[178] -> U28(pdf_29) OX[6121] -> U53(108287) | MATCH new_assignment cnt:1
[175] Block3 Char="e" PDF[179] -> U28(pdf_29) OX[6122] -> U53(108287) | MATCH continue_existing_assignment cnt:2
[176] Block3 Char="n" PDF[180] -> U28(pdf_29) OX[6123] -> U53(108287) | MATCH continue_existing_assignment cnt:3
[177] Block3 Char="t" PDF[181] -> U28(pdf_29) OX[6124] -> U53(108287) | MATCH continue_existing_assignment cnt:4
[178] Block3 Char="a" PDF[182] -> U28(pdf_29) OX[6125] -> U53(108287) | MATCH continue_existing_assignment cnt:5
[179] Block3 Char="h" PDF[183] -> U28(pdf_29) OX[6126] -> U53(108287) | MATCH continue_existing_assignment cnt:6
[180] Block3 Char="a" PDF[184] -> U29(pdf_30) OX[6127] -> U53(108287) | MATCH new_assignment cnt:1
[181] Block3 Char="t" PDF[185] -> U29(pdf_30) OX[6128] -> U53(108287) | MATCH continue_existing_assignment cnt:2
[182] Block3 Char="a" PDF[186] -> U29(pdf_30) OX[6129] -> U53(108287) | MATCH continue_existing_assignment cnt:3
[183] Block3 Char="u" PDF[187] -> U29(pdf_30) OX[6130] -> U53(108287) | MATCH continue_existing_assignment cnt:4
[184] Block3 Char="t" PDF[188] -> U30(pdf_31) OX[6131] -> U53(108287) | MATCH new_assignment cnt:1
[185] Block3 Char="e" PDF[189] -> U30(pdf_31) OX[6132] -> U53(108287) | MATCH continue_existing_assignment cnt:2
[186] Block3 Char="k" PDF[190] -> U30(pdf_31) OX[6133] -> U53(108287) | MATCH continue_existing_assignment cnt:3
[187] Block3 Char="s" PDF[191] -> U30(pdf_31) OX[6134] -> U53(108287) | MATCH continue_existing_assignment cnt:4
[188] Block3 Char="y" PDF[192] -> U30(pdf_31) OX[6135] -> U53(108287) | MATCH continue_existing_assignment cnt:5
[189] Block3 Char="a" PDF[193] -> U30(pdf_31) OX[6136] -> U53(108287) | MATCH continue_existing_assignment cnt:6
[190] Block3 Char="n" PDF[194] -> U30(pdf_31) OX[6137] -> U53(108287) | MATCH continue_existing_assignment cnt:7
[191] Block3 Char="g" PDF[195] -> U30(pdf_31) OX[6138] -> U53(108287) | MATCH continue_existing_assignment cnt:8
[192] Block3 Char="a" PDF[196] -> U31(pdf_32) OX[6139] -> U53(108287) | MATCH new_assignment cnt:1
[193] Block3 Char="k" PDF[197] -> U31(pdf_32) OX[6140] -> U53(108287) | MATCH continue_existing_assignment cnt:2
[194] Block3 Char="a" PDF[198] -> U31(pdf_32) OX[6141] -> U53(108287) | MATCH continue_existing_assignment cnt:3
[195] Block3 Char="n" PDF[199] -> U31(pdf_32) OX[6142] -> U53(108287) | MATCH continue_existing_assignment cnt:4
[196] Block3 Char="d" PDF[200] -> U32(pdf_33) OX[6143] -> U53(108287) | MATCH new_assignment cnt:1
[197] Block3 Char="i" PDF[201] -> U32(pdf_33) OX[6144] -> U53(108287) | MATCH continue_existing_assignment cnt:2
[198] Block3 Char="p" PDF[202] -> U32(pdf_33) OX[6145] -> U53(108287) | MATCH continue_existing_assignment cnt:3
[199] Block3 Char="r" PDF[203] -> U32(pdf_33) OX[6146] -> U53(108287) | MATCH continue_existing_assignment cnt:4
[200] Block3 Char="o" PDF[204] -> U32(pdf_33) OX[6147] -> U53(108287) | MATCH continue_existing_assignment cnt:5
[201] Block3 Char="s" PDF[205] -> U32(pdf_33) OX[6148] -> U53(108287) | MATCH continue_existing_assignment cnt:6
[202] Block3 Char="e" PDF[206] -> U32(pdf_33) OX[6149] -> U53(108287) | MATCH continue_existing_assignment cnt:7
[203] Block3 Char="s" PDF[207] -> U32(pdf_33) OX[6150] -> U53(108287) | MATCH continue_existing_assignment cnt:8
[204] Block3 Char="o" PDF[208] -> U32(pdf_33) OX[6151] -> U53(108287) | MATCH continue_existing_assignment cnt:9
[205] Block3 Char="l" PDF[209] -> U32(pdf_33) OX[6152] -> U53(108287) | MATCH continue_existing_assignment cnt:10
[206] Block3 Char="e" PDF[210] -> U32(pdf_33) OX[6153] -> U53(108287) | MATCH continue_existing_assignment cnt:11
[207] Block3 Char="h" PDF[211] -> U32(pdf_33) OX[6154] -> U53(108287) | MATCH continue_existing_assignment cnt:12
[208] Block3 Char="m" PDF[212] -> U33(pdf_34) OX[6155] -> U53(108287) | MATCH new_assignment cnt:1
[209] Block3 Char="o" PDF[213] -> U33(pdf_34) OX[6156] -> U53(108287) | MATCH continue_existing_assignment cnt:2
[210] Block3 Char="d" PDF[214] -> U33(pdf_34) OX[6157] -> U53(108287) | MATCH continue_existing_assignment cnt:3
[211] Block3 Char="e" PDF[215] -> U33(pdf_34) OX[6158] -> U53(108287) | MATCH continue_existing_assignment cnt:4
